KY586461_Ser1_Thailand_BangkokSeq_130_Thailand	2006
KY586462_Ser1_Thailand_BangkokSeq_131_Thailand	2006
KY586463_Ser1_Thailand_BangkokSeq_132_Thailand	2006
KY586467_Ser1_Thailand_BangkokSeq_133_Thailand	2001
KY586470_Ser1_Thailand_BangkokSeq_134_Thailand	2006
KY586471_Ser1_Thailand_BangkokSeq_135_Thailand	2006
KY586472_Ser1_Thailand_BangkokSeq_136_Thailand	2006
KY586473_Ser1_Thailand_BangkokSeq_137_Thailand	2006
KY586474_Ser1_Thailand_BangkokSeq_138_Thailand	2006
KY586475_Ser1_Thailand_BangkokSeq_139_Thailand	2006
KY586320_Ser1_Thailand_BangkokSeq_14_Thailand	2006
KY586476_Ser1_Thailand_BangkokSeq_140_Thailand	2006
KY586478_Ser1_Thailand_BangkokSeq_141_Thailand	2001
KY586479_Ser1_Thailand_BangkokSeq_142_Thailand	2002
KY586480_Ser1_Thailand_BangkokSeq_143_Thailand	2002
KY586482_Ser1_Thailand_BangkokSeq_144_Thailand	1998
KY586483_Ser1_Thailand_BangkokSeq_145_Thailand	1995
KY586484_Ser1_Thailand_BangkokSeq_146_Thailand	1995
KY586485_Ser1_Thailand_BangkokSeq_147_Thailand	2006
KY586486_Ser1_Thailand_BangkokSeq_148_Thailand	2006
KY586487_Ser1_Thailand_BangkokSeq_149_Thailand	2006
KY586321_Ser1_Thailand_BangkokSeq_15_Thailand	2006
KY586488_Ser1_Thailand_BangkokSeq_150_Thailand	2006
KY586489_Ser1_Thailand_BangkokSeq_151_Thailand	2006
KY586490_Ser1_Thailand_BangkokSeq_152_Thailand	2006
KY586491_Ser1_Thailand_BangkokSeq_153_Thailand	2006
KY586495_Ser1_Thailand_BangkokSeq_154_Thailand	2006
KY586496_Ser1_Thailand_BangkokSeq_155_Thailand	2006
KY586497_Ser1_Thailand_BangkokSeq_156_Thailand	2006
KY586498_Ser1_Thailand_BangkokSeq_157_Thailand	2006
KY586499_Ser1_Thailand_BangkokSeq_158_Thailand	2006
KY586500_Ser1_Thailand_BangkokSeq_159_Thailand	2006
KY586322_Ser1_Thailand_BangkokSeq_16_Thailand	2006
KY586501_Ser1_Thailand_BangkokSeq_160_Thailand	2006
KY586502_Ser1_Thailand_BangkokSeq_161_Thailand	2006
