KU296681.1	2014-12-28
KU296680.1	2015-02-27
KU296679.1	2015-02-12
KU296678.1	2015-01-20
KU296677.1	2015-03-05
KU296676.1	2015-02-26
KU296675.1	2014-12-22
KU296674.1	2015-02-02
KU296673.1	2015-05-31
KU296672.1	2015-01-14
KU296671.1	2015-04-15
KU296670.1	2015-01-24
KU296669.1	2015-02-02
KU296668.1	2015-06-07
KU296667.1	2015-06-12
KU296666.1	2015-06-22
KU296665.1	2015-05-18
KU296664.1	2015-01-11
KU296663.1	2014-12-31
KU296662.1	2015-01-29
KU296661.1	2015-02-11
KU296660.1	2015-03-14
KU296659.1	2015-01-31
KU296658.1	2015-03-03
KU296657.1	2015-02-25
KU296656.1	2015-01-10
KU296655.1	2015-01-20
KU296654.1	2015-09-09
KU296653.1	2015-03-24
KU296652.1	2015-02-25
KU296651.1	2015-04-12
KU296650.1	2015-07-12
KU296649.1	2015-06-07
KU296648.1	2015-02-21
KU296647.1	2015-02-18
KU296646.1	2015-02-01
KU296645.1	2015-02-28
KU296644.1	2015-01-10
KU296643.1	2015-02-27
KU296642.1	2015-02-26
KU296641.1	2015-03-04
KU296640.1	2015-02-24
KU296639.1	2015-04-23
KU296638.1	2015-03-22
KU296637.1	2015-01-22
KU296636.1	2015-01-05
KU296635.1	2015-02-10
KU296634.1	2015-01-18
KU296633.1	2015-03-16
KU296632.1	2015-02-14
KU296631.1	2015-02-08
KU296630.1	2014-12-22
KU296629.1	2015-01-01
KU296627.1	2015-03-19
KU296626.1	2015-02-26
KU296625.1	2015-06-06
KU296624.1	2015-03-05
KU296623.1	2015-03-12
KU296622.1	2015-01-31
KU296621.1	2014-12-23
KU296620.1	2015-01-07
KU296619.1	2015-02-05
KU296618.1	2015-06-21
KU296617.1	2015-05-29
KU296616.1	2015-02-23
KU296615.1	2015-03-02
KU296614.1	2015-04-11
KU296613.1	2015-03-07
KU296612.1	2015-03-23
KU296611.1	2015-01-24
KU296610.1	2015-01-01
KU296609.1	2015-01-25
KU296608.1	2015-02-03
KU296607.1	2015-02-02
KU296606.1	2014-12-22
KU296605.1	2015-01-15
KU296604.1	2015-02-28
